iter	RMSE
0	77449.99453
1	74926.3428
2	72506.03719
3	70233.30852
4	68006.56522
5	65797.84263
6	63687.74333
7	61748.64661
8	59827.23193
9	57986.667
10	56238.08368
11	54576.9232
12	52965.5941
13	51432.91002
14	49959.43938
15	48543.89107
16	47286.18832
17	45993.46216
18	44776.31954
19	43582.47708
20	42511.29798
21	41439.53783
22	40411.42766
23	39458.56723
24	38564.34128
25	37685.62459
26	36838.22334
27	36036.55318
28	35226.05655
29	34467.41619
30	33731.7694
31	33020.87561
32	32361.63163
33	31730.38615
34	31127.7404
35	30556.73044
36	30020.19691
37	29508.23378
38	28980.80954
39	28479.06843
40	28010.85378
41	27575.51736
42	27116.03757
43	26723.14571
44	26323.20312
45	25921.85815
46	25580.06556
47	25235.41899
48	24910.8269
49	24590.61186
50	24283.28245
51	24000.1058
52	23720.00681
53	23447.36327
54	23207.69188
55	22965.82647
56	22731.06736
57	22500.78429
58	22259.45818
59	22046.96256
60	21833.11195
61	21634.20318
62	21446.0303
63	21265.144
64	21103.01476
65	20917.27472
66	20735.59863
67	20601.98672
68	20441.51642
69	20305.90702
70	20163.43686
71	20031.39874
72	19896.61913
73	19757.46742
74	19623.67548
75	19500.6169
76	19381.78853
77	19275.59279
78	19153.58997
79	19033.82606
80	18926.40901
81	18834.60468
82	18728.97307
83	18620.12563
84	18523.74996
85	18436.16389
86	18348.74118
87	18236.25872
88	18151.09123
89	18066.60076
90	17990.55586
91	17897.73062
92	17823.11565
93	17751.51974
94	17668.82946
95	17588.34168
96	17511.72254
97	17441.24205
98	17376.34288
99	17303.42344
100	17229.1504
101	17171.72124
102	17121.19348
103	17053.5406
104	16999.42555
105	16956.47638
106	16891.05395
107	16819.4287
108	16753.80377
109	16681.48084
110	16618.65612
111	16558.24445
112	16512.30111
113	16462.20642
114	16402.2206
115	16349.62011
116	16289.60312
117	16216.99471
118	16157.51808
119	16114.72287
120	16048.46294
121	15994.00313
122	15946.98894
123	15895.54607
124	15845.10367
125	15794.17237
126	15744.4648
127	15708.33572
128	15655.82
129	15625.68266
130	15585.82785
131	15558.76814
132	15501.34763
133	15436.10609
134	15405.69073
135	15364.96044
136	15323.47004
137	15289.12128
138	15249.93452
139	15202.46412
140	15158.63805
141	15124.26517
142	15090.86159
143	15049.70072
144	14994.54565
145	14955.36084
146	14923.71293
147	14875.34718
148	14839.40843
149	14802.33164
150	14756.60802
151	14721.64917
152	14700.02755
153	14666.37549
154	14621.2972
155	14593.06389
156	14548.21087
157	14513.73892
158	14475.02958
159	14409.3606
160	14380.16986
161	14338.64558
162	14304.22536
163	14270.69328
164	14226.37731
165	14203.02027
166	14175.18664
167	14142.92075
168	14108.40694
169	14079.19185
170	14054.98374
171	14011.97173
172	13974.31202
173	13936.34363
174	13900.86764
175	13861.76895
176	13824.46963
177	13781.11495
178	13757.19203
179	13725.17479
180	13696.05973
181	13669.19699
182	13643.17232
183	13626.41798
184	13582.5901
185	13541.81231
186	13507.87432
187	13476.47108
188	13438.15852
189	13415.31093
190	13397.25898
191	13364.64276
192	13327.90015
193	13287.46527
194	13265.43274
195	13224.63739
196	13187.68032
197	13144.0191
198	13119.00508
199	13094.13498
200	13053.7269
201	13026.47958
202	12998.71247
203	12972.2112
204	12947.12895
205	12910.51982
206	12886.4185
207	12864.93494
208	12820.78065
209	12800.14358
210	12774.99135
211	12737.18189
212	12717.38732
213	12695.10221
214	12661.24608
215	12632.7318
216	12605.66382
217	12575.68096
218	12549.26448
219	12514.27775
220	12496.41525
221	12463.89086
222	12430.94182
223	12401.05102
224	12372.5536
225	12348.44111
226	12316.95631
227	12290.82442
228	12261.54075
229	12242.49547
230	12219.01047
231	12181.87951
232	12162.0043
233	12131.31539
234	12106.79711
235	12068.69324
236	12042.39673
237	12014.03982
238	11993.70273
239	11972.88557
240	11948.39172
241	11914.96271
242	11897.22964
243	11860.54262
244	11836.89436
245	11805.94761
246	11785.67615
247	11759.57776
248	11731.78861
249	11712.82979
250	11686.67036
251	11667.73428
252	11651.13763
253	11624.42484
254	11596.09664
255	11574.86454
256	11558.06538
257	11532.09259
258	11512.86203
259	11480.53822
260	11450.02596
261	11426.62916
262	11409.32035
263	11386.19357
264	11363.69692
265	11346.89458
266	11330.43394
267	11314.92266
268	11292.70082
269	11271.02977
270	11241.37711
271	11220.65166
272	11194.38756
273	11165.25336
274	11125.88978
275	11097.68759
276	11068.60767
277	11036.2953
278	11017.48132
279	10992.798
280	10966.97091
281	10948.72223
282	10926.79322
283	10900.09078
284	10884.54725
285	10862.01962
286	10836.14179
287	10823.30444
288	10809.81602
289	10789.1119
290	10772.03648
291	10739.96538
292	10721.96896
293	10699.60281
294	10673.09811
295	10650.76156
296	10637.27559
297	10617.93191
298	10596.12493
299	10573.95327
