iter	Passed	Remaining
0	4	1423
1	8	1321
2	13	1296
3	17	1314
4	22	1315
5	27	1327
6	31	1329
7	36	1344
8	41	1334
9	45	1333
10	50	1330
11	54	1319
12	59	1309
13	63	1299
14	68	1300
15	72	1294
16	77	1290
17	82	1288
18	87	1288
19	91	1287
20	96	1283
21	101	1281
22	106	1278
23	110	1271
24	115	1267
25	119	1260
26	124	1256
27	128	1253
28	134	1257
29	139	1251
30	143	1249
31	148	1244
32	153	1238
33	158	1237
34	162	1231
35	171	1260
36	180	1282
37	185	1278
38	189	1271
39	195	1267
40	200	1264
41	204	1258
42	209	1253
43	214	1247
44	218	1240
45	223	1234
46	228	1227
47	233	1223
48	237	1216
49	241	1209
50	246	1202
51	250	1194
52	254	1187
53	259	1180
54	263	1174
55	268	1169
56	272	1163
57	278	1160
58	283	1156
59	293	1175
60	309	1213
61	338	1297
62	344	1295
63	350	1293
64	356	1289
65	362	1284
66	367	1277
67	371	1269
68	376	1262
69	381	1254
70	386	1247
71	391	1240
72	396	1231
73	401	1225
74	406	1218
75	410	1211
76	416	1204
77	421	1198
78	426	1192
79	431	1187
80	436	1179
81	440	1170
82	444	1162
83	448	1153
84	452	1145
85	456	1136
86	461	1129
87	465	1122
88	469	1114
89	474	1106
90	478	1098
91	483	1092
92	488	1086
93	492	1078
94	496	1071
95	501	1064
96	505	1057
97	509	1049
98	513	1042
99	517	1035
100	522	1028
101	526	1021
102	531	1016
103	536	1010
104	540	1003
105	544	996
106	548	989
107	553	983
108	557	977
109	562	971
110	566	965
111	571	958
112	575	952
113	579	945
114	584	939
115	588	933
116	592	926
117	597	921
118	601	914
119	605	908
120	609	902
121	614	895
122	618	889
123	622	883
124	627	877
125	632	872
126	636	866
127	641	861
128	645	855
129	649	849
130	653	843
131	657	837
132	663	832
133	667	826
134	671	821
135	676	815
136	680	810
137	685	804
138	690	799
139	694	793
140	698	788
141	703	782
142	707	776
143	712	771
144	717	766
145	721	761
146	726	756
147	731	751
148	736	745
149	740	740
150	745	735
151	750	730
152	754	725
153	759	720
154	764	715
155	769	709
156	773	704
157	778	699
158	782	693
159	787	688
160	792	683
161	797	679
162	801	673
163	806	668
164	811	663
165	815	658
166	820	653
167	825	648
168	829	643
169	834	638
170	839	633
171	843	627
172	848	622
173	852	617
174	857	612
175	862	607
176	867	602
177	871	597
178	875	592
179	880	586
180	884	581
181	889	576
182	894	571
183	898	566
184	902	561
185	906	555
186	911	550
187	915	545
188	920	540
189	924	535
190	929	530
191	934	525
192	939	520
193	943	515
194	947	510
195	952	505
196	956	499
197	961	495
198	965	489
199	970	485
200	974	479
201	978	474
202	983	469
203	987	464
204	991	459
205	996	454
206	1001	449
207	1005	444
208	1009	439
209	1014	434
210	1018	429
211	1023	424
212	1028	419
213	1032	414
214	1037	410
215	1041	405
216	1045	400
217	1050	395
218	1054	390
219	1059	385
220	1063	380
221	1068	375
222	1072	370
223	1076	365
224	1081	360
225	1086	355
226	1090	350
227	1094	345
228	1099	340
229	1103	335
230	1107	330
231	1112	325
232	1116	321
233	1121	316
234	1125	311
235	1130	306
236	1135	301
237	1139	296
238	1143	291
239	1148	287
240	1152	282
241	1157	277
242	1161	272
243	1166	267
244	1170	262
245	1174	257
246	1179	253
247	1184	248
248	1188	243
249	1193	238
250	1197	233
251	1201	228
252	1205	224
253	1210	219
254	1214	214
255	1219	209
256	1223	204
257	1228	200
258	1233	195
259	1237	190
260	1241	185
261	1246	180
262	1250	175
263	1254	171
264	1259	166
265	1263	161
266	1268	156
267	1272	151
268	1277	147
269	1282	142
270	1286	137
271	1290	132
272	1295	128
273	1300	123
274	1304	118
275	1309	113
276	1313	109
277	1318	104
278	1323	99
279	1327	94
280	1332	90
281	1336	85
282	1341	80
283	1345	75
284	1349	71
285	1354	66
286	1359	61
287	1363	56
288	1368	52
289	1372	47
290	1377	42
291	1381	37
292	1386	33
293	1390	28
294	1395	23
295	1399	18
296	1404	14
297	1408	9
298	1413	4
299	1418	0
