MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Condition_1,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Year_Sold,Sale_Type,Sale_Condition
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',141.0,31770.0,b'Slightly_Irregular',b'Lvl',b'Corner',b'North_Ames',b'Norm',b'OneFam',b'One_Story',5,4,1960.0,1960.0,b'Hip',b'BrkFace',b'Plywood',b'Stone',112.0,1,2,b'CBlock',3,4,4,b'BLQ',2.0,b'Unf',0.0,441.0,1080.0,1,1656.0,0.0,0.0,1656.0,1.0,0.0,1.0,0.0,3.0,1.0,2,2.0,4,b'Attchd',b'Fin',528.0,3,210.0,62.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_High_Density',80.0,11622.0,b'Regular',b'Lvl',b'Inside',b'North_Ames',b'Feedr',b'OneFam',b'One_Story',4,5,1961.0,1961.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'CBlock',3,3,1,b'Rec',6.0,b'LwQ',144.0,270.0,882.0,2,896.0,0.0,0.0,896.0,0.0,0.0,1.0,0.0,2.0,1.0,2,0.0,0,b'Attchd',b'Unf',730.0,3,140.0,0.0,0.0,0.0,120.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',81.0,14267.0,b'Slightly_Irregular',b'Lvl',b'Corner',b'North_Ames',b'Norm',b'OneFam',b'One_Story',5,5,1958.0,1958.0,b'Hip',b'Wd Sdng',b'Wd Sdng',b'BrkFace',108.0,1,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Unf',0.0,406.0,1329.0,2,1329.0,0.0,0.0,1329.0,0.0,0.0,1.0,1.0,3.0,1.0,3,0.0,0,b'Attchd',b'Unf',312.0,3,393.0,36.0,0.0,0.0,0.0,0.0,b'No_Fence',12500.0,2010.0,b'WD ',b'Normal'
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',93.0,11160.0,b'Regular',b'Lvl',b'Corner',b'North_Ames',b'Norm',b'OneFam',b'One_Story',6,4,1968.0,1968.0,b'Hip',b'BrkFace',b'BrkFace',b'None',0.0,2,2,b'CBlock',3,3,1,b'ALQ',1.0,b'Unf',0.0,1045.0,2110.0,4,2110.0,0.0,0.0,2110.0,1.0,0.0,2.0,1.0,3.0,1.0,4,2.0,3,b'Attchd',b'Fin',522.0,3,0.0,0.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',74.0,13830.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'Two_Story',4,4,1997.0,1998.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'PConc',4,3,1,b'GLQ',3.0,b'Unf',0.0,137.0,928.0,3,928.0,701.0,0.0,1629.0,0.0,0.0,2.0,1.0,3.0,1.0,2,1.0,3,b'Attchd',b'Fin',482.0,3,212.0,34.0,0.0,0.0,0.0,0.0,b'Minimum_Privacy',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',78.0,9978.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'Two_Story',5,5,1998.0,1998.0,b'Gable',b'VinylSd',b'VinylSd',b'BrkFace',20.0,1,2,b'PConc',3,3,1,b'GLQ',3.0,b'Unf',0.0,324.0,926.0,4,926.0,678.0,0.0,1604.0,0.0,0.0,2.0,1.0,3.0,1.0,3,1.0,4,b'Attchd',b'Fin',470.0,3,360.0,36.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',41.0,4920.0,b'Regular',b'Lvl',b'Inside',b'Stone_Brook',b'Norm',b'TwnhsE',b'One_Story',7,4,2001.0,2001.0,b'Gable',b'CemntBd',b'CmentBd',b'None',0.0,2,2,b'PConc',4,3,2,b'GLQ',3.0,b'Unf',0.0,722.0,1338.0,4,1338.0,0.0,0.0,1338.0,1.0,0.0,2.0,0.0,2.0,1.0,3,0.0,0,b'Attchd',b'Fin',582.0,3,0.0,0.0,170.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',43.0,5005.0,b'Slightly_Irregular',b'HLS',b'Inside',b'Stone_Brook',b'Norm',b'TwnhsE',b'One_Story',7,4,1992.0,1992.0,b'Gable',b'HdBoard',b'HdBoard',b'None',0.0,2,2,b'PConc',4,3,1,b'ALQ',1.0,b'Unf',0.0,1017.0,1280.0,4,1280.0,0.0,0.0,1280.0,0.0,0.0,2.0,0.0,2.0,1.0,3,0.0,0,b'Attchd',b'RFn',506.0,3,0.0,82.0,0.0,0.0,144.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',39.0,5389.0,b'Slightly_Irregular',b'Lvl',b'Inside',b'Stone_Brook',b'Norm',b'TwnhsE',b'One_Story',7,4,1995.0,1996.0,b'Gable',b'CemntBd',b'CmentBd',b'None',0.0,2,2,b'PConc',4,3,1,b'GLQ',3.0,b'Unf',0.0,415.0,1595.0,4,1616.0,0.0,0.0,1616.0,1.0,0.0,2.0,0.0,2.0,1.0,3,1.0,3,b'Attchd',b'RFn',608.0,3,237.0,152.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',60.0,7500.0,b'Regular',b'Lvl',b'Inside',b'Gilbert',b'Norm',b'OneFam',b'Two_Story',6,4,1999.0,1999.0,b'Gable',b'VinylSd',b'VinylSd',b'None',0.0,1,2,b'PConc',3,3,1,b'Unf',7.0,b'Unf',0.0,994.0,994.0,3,1028.0,776.0,0.0,1804.0,0.0,0.0,2.0,1.0,3.0,1.0,3,1.0,3,b'Attchd',b'Fin',442.0,3,140.0,60.0,0.0,0.0,0.0,0.0,b'No_Fence',0.0,2010.0,b'WD ',b'Normal'
